,year,metro,id,sex,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
7147,2020,G2,390000392,1,47,3,4,2,4455,900,4553,3957,H,8,3,12
7148,2020,G2,390600231,1,60,3,6,2,41538,0,4572,3806,J,2,1,16
7149,2020,G2,390600311,1,55,5,3,2,3048,0,3454,3433,N,9,3,9
7150,2020,G2,390600321,2,41,2,6,4,5260,0,3830,3640,G,5,3,16
7151,2020,G2,390600331,1,68,2,4,3,46210,0,2740,2473,H,8,1,12
7152,2020,G2,390600361,1,71,2,2,2,30100,0,1358,1147,,,1,6
7153,2020,G2,390600381,1,60,2,6,2,61500,0,10696,8803,O,7,1,16
7154,2020,G2,390600391,1,61,2,4,2,7412,4300,1748,1338,F,9,3,12
7155,2020,G2,390700221,1,63,2,7,2,37879,22871,9222,7482,,,4,18
7156,2020,G2,390700231,1,47,2,5,2,14009,3840,5299,4549,O,9,3,14
7157,2020,G2,390700341,1,58,4,5,2,56154,10800,6261,4569,G,5,4,14
7158,2020,G2,390700361,1,73,2,6,2,77083,0,6231,4335,R,4,1,16
7159,2020,G2,390700371,1,41,4,4,2,25880,1495,3800,3354,F,7,1,12
7160,2020,G2,390700381,1,55,3,6,2,84640,17450,18945,13900,G,3,1,16
7161,2020,G2,390700391,1,39,5,5,2,63117,14000,4227,3182,F,9,1,14
7162,2020,G2,390800201,1,48,4,4,2,15947,0,2981,2679,R,4,1,12
7163,2020,G2,390800211,2,42,3,4,4,780,600,3941,3914,S,4,3,12
7164,2020,G2,390800231,1,42,4,4,2,100088,0,7784,7193,C,8,1,12
7165,2020,G2,390800241,1,77,3,3,2,161125,300,3420,2947,H,9,1,9
7166,2020,G2,390800251,2,70,1,3,4,89141,24420,2999,1933,,,1,9
7167,2020,G2,390800261,1,52,3,4,2,22258,0,3713,2334,G,5,1,12
7168,2020,G2,390800311,1,66,2,3,2,182360,1500,6195,5396,G,5,1,9
7169,2020,G2,390800321,2,81,1,2,3,40200,0,2395,2289,A,6,5,6
7170,2020,G2,390800361,1,65,2,3,2,7510,0,1121,1055,,,1,9
7171,2020,G2,390800371,1,40,2,4,2,12430,5198,6756,6150,F,7,3,12
7172,2020,G2,390800391,1,30,2,6,1,320,50,5506,5194,,,5,16
7173,2020,G2,390900201,1,59,4,4,2,79720,0,15015,13329,S,7,1,12
7174,2020,G2,390900211,1,41,4,6,2,39536,8625,8721,7947,P,2,1,16
7175,2020,G2,390900221,1,83,2,3,2,5916,0,838,749,,,1,9
7176,2020,G2,390900241,2,63,2,3,3,134700,0,3716,3484,D,9,1,9
7177,2020,G2,390900251,1,61,5,3,2,64116,200,6771,6438,A,6,1,9
7178,2020,G2,390900271,1,42,1,5,1,28480,0,9356,7941,D,2,2,14
7179,2020,G2,390900301,1,74,3,4,2,59945,0,3352,2953,A,6,1,12
7180,2020,G2,390900331,1,67,2,2,2,77650,620,1478,1277,,,1,6
7181,2020,G2,390900341,1,59,2,4,3,32750,1500,4799,3713,H,8,1,12
7182,2020,G2,390900351,1,44,1,4,1,450,0,396,339,H,8,4,12
7183,2020,G2,390900361,1,44,2,4,4,9140,0,4596,3990,C,7,1,12
7184,2020,G2,390900371,2,67,2,3,3,3000,300,4970,4586,,,3,9
7185,2020,G2,390900381,1,39,5,8,2,62413,6800,11062,8763,M,3,1,21
7186,2020,G2,391000202,1,42,4,4,2,73880,29866,5908,5046,S,9,1,12
7187,2020,G2,391000212,1,38,5,6,2,67640,37420,3450,2359,O,3,2,16
7188,2020,G2,391000222,1,78,2,4,2,20020,0,1317,1296,,,2,12
7189,2020,G2,391000232,1,58,2,5,2,288940,15000,12134,9137,C,8,1,14
7190,2020,G2,391000302,1,57,4,3,2,11698,1200,5379,4858,A,6,4,9
7191,2020,G2,391000312,1,51,5,4,2,109667,33300,12117,9623,F,8,1,12
7192,2020,G2,391000322,1,61,1,4,1,250,0,744,743,,,3,12
7193,2020,G2,391000332,2,51,2,5,4,41920,20000,1983,802,G,5,2,14
7194,2020,G2,391000342,1,39,3,6,2,44710,15000,7034,5310,R,4,2,16
7195,2020,G2,391600311,2,72,1,2,3,34820,0,2511,2381,A,6,1,6
7196,2020,G2,391600331,1,55,4,4,2,37564,0,9442,7976,I,4,1,12
7197,2020,G2,391600341,2,78,1,2,4,900,700,750,728,,,2,6
7198,2020,G2,391700301,1,67,1,3,3,14088,0,2087,1950,H,8,3,9
7199,2020,G2,391700311,2,62,2,3,4,7680,1640,4316,3680,K,5,3,9
7200,2020,G2,391800201,1,63,2,3,2,29475,1000,2875,2635,F,7,1,9
7201,2020,G2,391800211,1,47,5,4,2,4886,3100,5226,4681,F,8,5,12
7202,2020,G2,391800221,1,58,2,5,2,35070,500,9229,8260,H,7,1,14
7203,2020,G2,391800281,2,51,3,4,3,553,350,1732,1614,I,4,3,12
7204,2020,G2,391800291,2,91,1,1,3,15920,0,727,711,,,1,0
7205,2020,G2,391800301,1,52,5,7,2,62825,1080,7607,5866,O,2,1,18
7206,2020,G2,391800311,1,42,4,6,2,75384,50000,3923,3373,F,8,2,16
7207,2020,G2,391800321,2,77,1,1,3,20350,0,969,715,A,6,5,0
